,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
238,2023-10-30,2640.0,2755.0,2595.0,2755.0,3141682,417570,241096,-6700,45.24,18,9,6,17.75
239,2023-10-31,2755.0,2795.0,2625.0,2625.0,3031844,-357111,-36811,-13258,45.24,18,9,6,17.75
240,2023-11-01,2690.0,2715.0,2615.0,2680.0,2110729,-166670,-54807,16950,45.24,18,9,6,17.75
241,2023-11-02,2770.0,2830.0,2755.0,2820.0,3604477,611551,166193,35675,45.24,18,9,6,17.75
242,2023-11-03,2815.0,2855.0,2710.0,2855.0,4115789,254498,-51000,1745,45.24,18,9,6,17.75
243,2023-11-06,2910.0,2955.0,2880.0,2955.0,2409459,316063,-19250,22115,46.9,19,9,5,20.1
244,2023-11-07,2915.0,3005.0,2910.0,3000.0,2041825,62056,-7000,114828,46.9,19,9,5,20.1
245,2023-11-08,3005.0,3045.0,2960.0,3045.0,2209940,81582,41000,97109,46.9,19,9,5,20.1
246,2023-11-09,3030.0,3345.0,3010.0,3240.0,3275321,336453,-30000,55731,46.9,19,9,5,20.1
247,2023-11-10,3220.0,3295.0,3080.0,3200.0,3317486,-355977,-108000,42947,46.9,19,9,5,20.1
248,2023-11-13,3275.0,3330.0,3220.0,3235.0,2296058,104604,-44500,10327,45.8,19,9,5,18.8
249,2023-11-14,3290.0,3415.0,3285.0,3285.0,2131936,-174922,-35500,1907,45.8,19,9,5,18.8
250,2023-11-15,3345.0,3350.0,3090.0,3105.0,3456731,-602485,-146000,3933,45.8,19,9,5,18.8
251,2023-11-16,3095.0,3150.0,3050.0,3090.0,1606478,-129823,-112711,-6391,45.8,19,9,5,18.8
252,2023-11-17,3110.0,3230.0,3100.0,3230.0,1727977,222966,-33904,9990,45.8,19,9,5,18.8
253,2023-11-20,3240.0,3265.0,3185.0,3185.0,1083559,-44209,-11518,783,46.28,18,10,5,19.06
254,2023-11-21,3235.0,3260.0,3135.0,3135.0,1811231,-254964,3721,2910,46.28,18,10,5,19.06
255,2023-11-22,3085.0,3190.0,3085.0,3170.0,1681430,2095,-10093,2233,46.28,18,10,5,19.06
256,2023-11-23,3185.0,3230.0,3115.0,3125.0,2245795,-17939,-49720,-2270,46.28,18,10,5,19.06
257,2023-11-24,3150.0,3165.0,3050.0,3050.0,1756600,-290821,-1186,5379,46.28,18,10,5,19.06
258,2023-11-27,3070.0,3110.0,2950.0,2950.0,2198163,246356,-93000,-14448,41.38,22,7,6,13.51
259,2023-11-28,2995.0,3160.0,2985.0,3130.0,3011969,138198,-25000,-70361,41.38,22,7,6,13.51
260,2023-11-29,3130.0,3140.0,3050.0,3050.0,2129051,-487017,-3000,-19541,41.38,22,7,6,13.51
261,2023-11-30,3130.0,3175.0,3100.0,3110.0,9389960,838123,-1676,-259347,41.38,22,7,6,13.51
262,2023-12-01,3085.0,3155.0,3030.0,3080.0,2108462,-156694,-34000,5721,41.38,22,7,6,13.51
263,2023-12-04,3095.0,3150.0,3070.0,3110.0,1632706,-182738,-1000,1736,42.02,23,7,4,15.24
264,2023-12-05,3090.0,3245.0,3085.0,3240.0,2932126,293197,53000,6874,42.02,23,7,4,15.24
265,2023-12-06,3310.0,3375.0,3210.0,3290.0,2987511,157073,13000,-2340,42.02,23,7,4,15.24
266,2023-12-07,3265.0,3370.0,3265.0,3370.0,2390262,249314,15000,-10771,42.02,23,7,4,15.24
267,2023-12-08,3440.0,3445.0,3325.0,3335.0,2534672,-186896,-29600,-2583,42.02,23,7,4,15.24
268,2023-12-11,3375.0,3515.0,3375.0,3510.0,2764033,126030,46000,-956,42.1,21,8,6,13.53
269,2023-12-12,3510.0,3560.0,3480.0,3520.0,1612380,12370,-53000,61252,42.1,21,8,6,13.53
270,2023-12-13,3540.0,3650.0,3530.0,3650.0,1888213,211831,-50200,4378,42.1,21,8,6,13.53
271,2023-12-14,3670.0,3690.0,3475.0,3495.0,2726393,-663717,-187003,128637,42.1,21,8,6,13.53
272,2023-12-15,3520.0,3565.0,3415.0,3440.0,2124966,-78140,-182280,46120,42.1,21,8,6,13.53
273,2023-12-18,3435.0,3480.0,3355.0,3360.0,1507151,-284269,-99093,-11557,41.32,23,5,7,13.5
274,2023-12-19,3375.0,3380.0,3300.0,3310.0,1604055,-163876,-79400,-5843,41.32,23,5,7,13.5
275,2023-12-20,3355.0,3375.0,3295.0,3365.0,1447979,-172774,-55300,16895,41.32,23,5,7,13.5
276,2023-12-21,3330.0,3380.0,3295.0,3340.0,1201740,-122995,-42000,14177,41.32,23,5,7,13.5
277,2023-12-22,3360.0,3415.0,3310.0,3370.0,1379077,-99944,-15000,5677,41.32,23,5,7,13.5
278,2023-12-25,3390.0,3425.0,3365.0,3375.0,722693,-52546,0,1370,40.85,24,7,4,13.48
279,2023-12-26,3400.0,3455.0,3400.0,3420.0,1118217,13545,-31000,11267,40.85,24,7,4,13.48
280,2023-12-27,3460.0,3460.0,3300.0,3305.0,2287744,-637370,-39093,-15555,40.85,24,7,4,13.48
281,2023-12-28,3355.0,3385.0,3250.0,3260.0,1662676,-71806,-23686,-10438,40.85,24,7,4,13.48
282,2023-12-29,3275.0,3325.0,3210.0,3275.0,1784130,-136299,-17000,-29825,40.85,24,7,4,13.48
283,2024-01-02,3340.0,3445.0,3310.0,3445.0,3270014,480170,130000,17737,40.9,23,7,4,14.4
284,2024-01-03,3410.0,3450.0,3360.0,3445.0,2334108,-341034,-3000,-138101,40.9,23,7,4,14.4
285,2024-01-04,3465.0,3465.0,3365.0,3365.0,1789183,-244368,-16000,-121841,40.9,23,7,4,14.4
286,2024-01-05,3380.0,3420.0,3320.0,3390.0,1802301,-68696,-67500,-407,40.9,23,7,4,14.4
287,2024-01-08,3425.0,3475.0,3390.0,3455.0,1772624,421310,-1000,11883,42.65,21,9,5,14.83
288,2024-01-09,3500.0,3600.0,3485.0,3590.0,2332122,495515,40065,19108,42.65,21,9,5,14.83
289,2024-01-10,3560.0,3650.0,3550.0,3650.0,1718792,203649,-49000,1330,42.65,21,9,5,14.83
290,2024-01-11,3785.0,3855.0,3665.0,3830.0,2966820,368615,-3400,-4741,42.65,21,9,5,14.83
291,2024-01-12,3805.0,3810.0,3725.0,3735.0,1719192,-221708,-94500,6240,42.65,21,9,5,14.83
292,2024-01-15,3790.0,3790.0,3670.0,3700.0,1702213,-89458,-27000,-757,42.35,22,7,5,15.24
293,2024-01-16,3690.0,3745.0,3655.0,3670.0,1542733,-204558,-19000,3153,42.35,22,7,5,15.24
294,2024-01-17,3620.0,3665.0,3565.0,3565.0,2604077,-662221,39594,-73767,42.35,22,7,5,15.24
295,2024-01-18,3595.0,3690.0,3550.0,3690.0,2061196,-105587,14000,8535,42.35,22,7,5,15.24
